,State,full,climate_policy_index,ren_share_22,state_ems_change_1621,State_Effective_Tax_Rate,Right_to_work,ind_elec_price,man_share,worker_pay.y,gdp_17_22,cnbc_rank,demshare,demshare_statesenate,demshare_statehouse,dem_governor,dem_statecontrol,subs_m,incent_gdp,corruption_rank,liberal,pro_environment,pro_welfare,pro_race,LCVavg,other_spend_budget,budget_gdp
452,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,4.027364664,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
453,NV,Nevada,0.60739508,28.1,-1.367,0.1,0,24.9,9.151893841,65330.61863,14.7,30,0.512275279,0.619047619,0.619047619,0,0.5,1269.007428,0.006777937,13,21.00991204,0.556712091,0.243042708,0.311081178,60,38.84245935,8.481264265
454,VA,Virginia,0.400964448,4,-11.004,0.13,0,23.42,5.625850429,61553.50458,12,2,0.55154687,0.525,0.51,0,0.5,140,0.000242649,37,19.21795955,0.592493236,0.247026659,0.325550792,62,35.32782737,9.76533376
455,CA,California,0.914532924,32.9,-8.301,0.14,1,50.08,7.920011997,87876.6167,15.6,25,0.649089114,0.8,0.775,1,1,570.026,0.000179963,20,26.28857782,0.593053102,0.273065225,0.332515879,80,35.29813857,11.66949361
456,VA,Virginia,0.400964448,4,-11.004,0.13,0,23.42,12.05292955,61553.50458,12,2,0.55154687,0.525,0.51,0,0.5,140,0.000242649,37,19.21795955,0.592493236,0.247026659,0.325550792,62,35.32782737,9.76533376
457,MN,Minnesota,0.611065747,25.9,-8.719,0.12,1,27.12,6.211787089,68943.28282,6.9,5,0.536395136,0.507462687,0.52238806,1,1,68.408479,0.000180444,3,19.27243163,0.580286026,0.223405064,0.276763279,76,30.52459121,11.44363337
458,NY,New York,0.694948106,7.1,-8.289,0.16,1,22.13,12.44640645,68111.90349,8.5,20,0.617168349,0.666666667,0.68,1,1,9845.224887,0.005582698,41,27.28226444,0.606758833,0.239969901,0.372098672,94,31.94444444,9.998813056
459,IL,Illinois,0.494461858,19.6,-11.184,0.13,1,25.12,24.64634076,69011.44039,3.8,17,0.586590437,0.661016949,0.661016949,1,1,1065.541186,0.001233021,43,23.32385353,0.558254421,0.242371479,0.309645845,67,51.40853485,9.732300611
460,NC,North Carolina,0.625870668,9,-7.474,0.1,0,19.18,20.4999075,58104.25992,11.4,1,0.493158175,0.4,0.4,1,0.5,4708.252774,0.007730382,16,17.35499567,0.543512762,0.260586091,0.330378759,41.5,18.96821527,9.15706678
461,GA,Georgia,0.270791424,5.1,-14.13,0.09,0,25.36,18.06211652,56979.44017,12.4,4,0.501283338,0.410714286,0.433333333,0,0,4852.224547,0.007398632,33,16.56847228,0.557669342,0.25764463,0.330139784,19,24.19094554,8.53187318
