Full,Industry,Jobs
Missouri,      Real estate and rental and leasing,204471
Missouri,"      Professional, scientific, and technical services",243353
Missouri,      Management of companies and enterprises,65992
Missouri,      Administrative and support and waste management and remediation services,204765
Missouri,      Educational services,95612
Missouri,      Health care and social assistance,454774
Missouri,"      Arts, entertainment, and recreation",75450
Missouri,      Accommodation and food services,275193
Missouri,      Other services (except government and government enterprises),212103
Missouri,    Government and government enterprises,450379
Montana,Employment by place of work,
Montana,Total employment (number of jobs),746194
Montana,By industry,
Montana,  Farm employment,29362
Montana,"      Forestry, fishing, and related activities",8696
Montana,"      Mining, quarrying, and oil and gas extraction",10492
Montana,      Utilities,2980
Montana,      Construction,58126
Montana,      Manufacturing,26340
Montana,      Wholesale trade,20938
Montana,      Retail trade,78138
Montana,      Transportation and warehousing,26356
Montana,      Information,8567
Montana,      Finance and insurance,33540
Montana,      Real estate and rental and leasing,51625
Montana,"      Professional, scientific, and technical services",46837
Montana,      Management of companies and enterprises,2860
Montana,      Administrative and support and waste management and remediation services,30432
Montana,      Educational services,10118
Montana,      Health care and social assistance,80504
Montana,"      Arts, entertainment, and recreation",21602
Montana,      Accommodation and food services,64425
Montana,      Other services (except government and government enterprises),37765
Montana,    Government and government enterprises,96491
Nebraska,Employment by place of work,
Nebraska,Total employment (number of jobs),1372111
Nebraska,By industry,
Nebraska,  Farm employment,52319
Nebraska,"      Forestry, fishing, and related activities",12037
Nebraska,"      Mining, quarrying, and oil and gas extraction",2593
Nebraska,      Utilities,1276
Nebraska,      Construction,83949
Nebraska,      Manufacturing,106951
Nebraska,      Wholesale trade,44020
Nebraska,      Retail trade,131210
Nebraska,      Transportation and warehousing,72404
Nebraska,      Information,22094
Nebraska,      Finance and insurance,92885
Nebraska,      Real estate and rental and leasing,65568
Nebraska,"      Professional, scientific, and technical services",71021
Nebraska,      Management of companies and enterprises,22445
Nebraska,      Administrative and support and waste management and remediation services,67372
Nebraska,      Educational services,24777
Nebraska,      Health care and social assistance,146290
Nebraska,"      Arts, entertainment, and recreation",25512
Nebraska,      Accommodation and food services,83739
Nebraska,      Other services (except government and government enterprises),70228
Nebraska,    Government and government enterprises,173421
Nevada,Employment by place of work,
Nevada,Total employment (number of jobs),2061871
Nevada,By industry,
Nevada,  Farm employment,5208
Nevada,"      Forestry, fishing, and related activities",2214
Nevada,"      Mining, quarrying, and oil and gas extraction",19165
Nevada,      Utilities,4612
Nevada,      Construction,129422
Nevada,      Manufacturing,71259
Nevada,      Wholesale trade,48807
Nevada,      Retail trade,191956
Nevada,      Transportation and warehousing,153001
Nevada,      Information,25517
Nevada,      Finance and insurance,122182
