"Representative","State","Amount"
"Boyle Brendan (D-PA)","Pennsylvania","$1000"
"Cardenas Tony (D-CA)","California","$1000"
"Carter John (R-TX)","Texas","$1000"
"Castor Kathy (D-FL)","Florida","$1000"
"Coleman Bonnie Watson (D-NJ)","New Jersey","$1000"
"Himes Jim (D-CT)","Connecticut","$1000"
"Kaptur Marcy (D-OH)","Ohio","$1000"
"Mullin Kevin (D-CA)","California","$1000"
"Pocan Mark (D-WI)","Wisconsin","$1000"
"Waters Maxine (D-CA)","California","$1000"
"Webster Daniel (R-FL)","Florida","$1000"
"Wilson Joe (R-SC)","South Carolina","$1000"
"Carson Andre (D-IN)","Indiana","$900"
"Desaulnier Mark (D-CA)","California","$900"
"Pressley Ayanna (D-MA)","Massachusetts","$700"
"Hoyle Val (D-OR)","Oregon","$620"
"Garcia Jesus (D-IL)","Illinois","$600"
"Massie Thomas (R-KY)","Kentucky","$565"
"Buck Ken (R-CO)","Colorado","$554"
"Harder Josh (D-CA)","California","$510"
"Kuster Ann (D-NH)","New Hampshire","$500"
"Menendez Rob (D-NJ)","New Jersey","$500"
"Trone David (D-MD)","Maryland","$500"
"Casar Greg (D-TX)","Texas","$383"
"Davids Sharice (D-KS)","Kansas","$370"
"Lieu Ted (D-CA)","California","$285"
"Jayapal Pramila (D-WA)","Washington","$252"
"Blumenauer Earl (D-OR)","Oregon","$250"
"Clarke Yvette (D-NY)","New York","$250"
"Good Bob (R-VA)","Virginia","$250"
"Moylan James C (R-GU)","Guam","$250"
"Moulton Seth (D-MA)","Massachusetts","$201"
"Biggs Andy (R-AZ)","Arizona","$200"
"Bush Cori (D-MO)","Missouri","$196"
"Balint Becca (D-VT)","Vermont","$182"
"Vasquez Gabe (D-NM)","New Mexico","$157"
"Kilmer Derek (D-WA)","Washington","$125"
"Mills Cory (R-FL)","Florida","$111"
"Ogles Andy (R-TN)","Tennessee","$111"
"Stansbury Melanie (D-NM)","New Mexico","$110"
"Jackson Jeff (D-NC)","North Carolina","$100"
"Spartz Victoria (R-IN)","Indiana","$100"
"Pettersen Brittany (D-CO)","Colorado","$75"
"Scholten Hillary (D-MI)","Michigan","$65"
"Schrier Kim (D-WA)","Washington","$47"
"Castro Joaquin (D-TX)","Texas","$35"
"Landsman Greg (D-OH)","Ohio","$33"
"Brownley Julia (D-CA)","California","$25"
"Schakowsky Jan (D-IL)","Illinois","$25"
"Caraveo Yadira (D-CO)","Colorado","$13"
"Moskowitz Jared (D-FL)","Florida","$10"
"Takano Mark (D-CA)","California","$7"
"Hayes Jahana (D-CT)","Connecticut","$3"
